,Model,Methodology,Metric,Mean,Std
0,DummyRegressor,trainTest,R2,-0.01,0.0
1,DummyRegressor,trainTest,MAE,227.6,0.0
2,DummyRegressor,trainTest,RMSE,338.89,0.0
3,DummyRegressor,trainTest_removed,R2,-0.02,0.0
4,DummyRegressor,trainTest_removed,MAE,126.51,0.0
5,DummyRegressor,trainTest_removed,RMSE,147.55,0.0
6,DummyRegressor,randomCV,R2,-0.04,0.03
7,DummyRegressor,randomCV,MAE,175.66,40.76
8,DummyRegressor,randomCV,RMSE,234.1,77.55
9,DummyRegressor,randomCV_removed,R2,-0.03,0.05
10,DummyRegressor,randomCV_removed,MAE,141.64,21.35
11,DummyRegressor,randomCV_removed,RMSE,166.86,26.11
12,DummyRegressor,groupedCV,R2,-0.51,1.08
13,DummyRegressor,groupedCV,MAE,174.5,74.81
14,DummyRegressor,groupedCV,RMSE,215.04,118.81
15,DummyRegressor,groupedCV_removed,R2,-0.34,0.6
16,DummyRegressor,groupedCV_removed,MAE,142.52,38.5
17,DummyRegressor,groupedCV_removed,RMSE,164.6,44.6
18,LinearRegression,trainTest,R2,0.69,0.0
19,LinearRegression,trainTest,MAE,132.05,0.0
20,LinearRegression,trainTest,RMSE,186.83,0.0
21,LinearRegression,trainTest_removed,R2,0.39,0.0
22,LinearRegression,trainTest_removed,MAE,88.87,0.0
23,LinearRegression,trainTest_removed,RMSE,113.92,0.0
24,LinearRegression,randomCV,R2,0.43,0.38
25,LinearRegression,randomCV,MAE,113.41,22.17
26,LinearRegression,randomCV,RMSE,149.67,33.79
27,LinearRegression,randomCV_removed,R2,0.48,0.17
28,LinearRegression,randomCV_removed,MAE,90.05,13.46
29,LinearRegression,randomCV_removed,RMSE,114.05,13.03
30,LinearRegression,groupedCV,R2,-0.36,1.08
31,LinearRegression,groupedCV,MAE,144.75,59.56
32,LinearRegression,groupedCV,RMSE,184.73,85.36
33,LinearRegression,groupedCV_removed,R2,-0.0,0.81
34,LinearRegression,groupedCV_removed,MAE,100.44,27.89
35,LinearRegression,groupedCV_removed,RMSE,123.95,27.88
36,Ridge,trainTest,R2,0.69,0.0
37,Ridge,trainTest,MAE,134.19,0.0
38,Ridge,trainTest,RMSE,189.11,0.0
39,Ridge,trainTest_removed,R2,0.39,0.0
40,Ridge,trainTest_removed,MAE,88.89,0.0
41,Ridge,trainTest_removed,RMSE,114.79,0.0
42,Ridge,randomCV,R2,0.43,0.35
43,Ridge,randomCV,MAE,113.47,21.91
44,Ridge,randomCV,RMSE,150.43,32.74
45,Ridge,randomCV_removed,R2,0.48,0.16
46,Ridge,randomCV_removed,MAE,90.26,12.15
47,Ridge,randomCV_removed,RMSE,113.89,12.76
48,Ridge,groupedCV,R2,-0.35,1.09
49,Ridge,groupedCV,MAE,144.04,59.56
50,Ridge,groupedCV,RMSE,184.53,88.0
51,Ridge,groupedCV_removed,R2,-0.01,0.91
52,Ridge,groupedCV_removed,MAE,100.51,27.36
53,Ridge,groupedCV_removed,RMSE,122.97,26.65
54,RandomForestRegressor,trainTest,R2,0.88,0.0
55,RandomForestRegressor,trainTest,MAE,84.73,0.0
56,RandomForestRegressor,trainTest,RMSE,116.34,0.0
57,RandomForestRegressor,trainTest_removed,R2,0.62,0.0
58,RandomForestRegressor,trainTest_removed,MAE,64.88,0.0
59,RandomForestRegressor,trainTest_removed,RMSE,90.84,0.0
60,RandomForestRegressor,randomCV,R2,0.84,0.09
61,RandomForestRegressor,randomCV,MAE,61.59,14.89
62,RandomForestRegressor,randomCV,RMSE,83.62,19.08
63,RandomForestRegressor,randomCV_removed,R2,0.76,0.09
64,RandomForestRegressor,randomCV_removed,MAE,54.23,10.03
65,RandomForestRegressor,randomCV_removed,RMSE,77.09,12.53
66,RandomForestRegressor,groupedCV,R2,0.21,0.53
67,RandomForestRegressor,groupedCV,MAE,114.59,57.38
68,RandomForestRegressor,groupedCV,RMSE,151.52,92.11
69,RandomForestRegressor,groupedCV_removed,R2,0.37,0.39
70,RandomForestRegressor,groupedCV_removed,MAE,91.46,35.95
71,RandomForestRegressor,groupedCV_removed,RMSE,113.39,47.66
72,XGBRegressor,trainTest,R2,0.88,0.0
73,XGBRegressor,trainTest,MAE,80.15,0.0
74,XGBRegressor,trainTest,RMSE,117.3,0.0
75,XGBRegressor,trainTest_removed,R2,0.59,0.0
76,XGBRegressor,trainTest_removed,MAE,60.72,0.0
77,XGBRegressor,trainTest_removed,RMSE,94.04,0.0
78,XGBRegressor,randomCV,R2,0.8,0.13
79,XGBRegressor,randomCV,MAE,60.38,10.61
80,XGBRegressor,randomCV,RMSE,87.09,16.51
81,XGBRegressor,randomCV_removed,R2,0.72,0.09
82,XGBRegressor,randomCV_removed,MAE,57.72,7.66
83,XGBRegressor,randomCV_removed,RMSE,84.77,11.05
84,XGBRegressor,groupedCV,R2,0.1,0.74
85,XGBRegressor,groupedCV,MAE,118.94,61.11
86,XGBRegressor,groupedCV,RMSE,157.26,103.45
87,XGBRegressor,groupedCV_removed,R2,0.35,0.37
88,XGBRegressor,groupedCV_removed,MAE,93.43,31.68
89,XGBRegressor,groupedCV_removed,RMSE,113.96,39.22
90,CatBoostRegressor,trainTest,R2,0.89,0.0
91,CatBoostRegressor,trainTest,MAE,78.13,0.0
92,CatBoostRegressor,trainTest,RMSE,113.64,0.0
93,CatBoostRegressor,trainTest_removed,R2,0.63,0.0
94,CatBoostRegressor,trainTest_removed,MAE,58.07,0.0
95,CatBoostRegressor,trainTest_removed,RMSE,88.79,0.0
96,CatBoostRegressor,randomCV,R2,0.84,0.09
97,CatBoostRegressor,randomCV,MAE,58.06,11.55
98,CatBoostRegressor,randomCV,RMSE,80.52,18.7
99,CatBoostRegressor,randomCV_removed,R2,0.77,0.1
100,CatBoostRegressor,randomCV_removed,MAE,50.89,8.79
101,CatBoostRegressor,randomCV_removed,RMSE,73.82,12.25
102,CatBoostRegressor,groupedCV,R2,0.28,0.57
103,CatBoostRegressor,groupedCV,MAE,111.86,65.18
104,CatBoostRegressor,groupedCV,RMSE,146.95,102.56
105,CatBoostRegressor,groupedCV_removed,R2,0.42,0.33
106,CatBoostRegressor,groupedCV_removed,MAE,88.64,32.85
107,CatBoostRegressor,groupedCV_removed,RMSE,108.26,40.37
108,MLPRegressor,trainTest,R2,-0.51,0.0
109,MLPRegressor,trainTest,MAE,261.33,0.0
110,MLPRegressor,trainTest,RMSE,415.47,0.0
111,MLPRegressor,trainTest_removed,R2,-1.5,0.0
112,MLPRegressor,trainTest_removed,MAE,190.04,0.0
113,MLPRegressor,trainTest_removed,RMSE,231.69,0.0
114,MLPRegressor,randomCV,R2,-1.29,0.81
115,MLPRegressor,randomCV,MAE,240.5,45.62
116,MLPRegressor,randomCV,RMSE,329.51,77.01
117,MLPRegressor,randomCV_removed,R2,-1.64,0.74
118,MLPRegressor,randomCV_removed,MAE,204.04,22.12
119,MLPRegressor,randomCV_removed,RMSE,259.15,19.78
