,Model,Methodology,Metric,Mean,Std
0,VotingRegressor_0,trainTest,R2,0.76,0.0
1,VotingRegressor_0,trainTest,MAE,80.44,0.0
2,VotingRegressor_0,trainTest,RMSE,119.21,0.0
3,VotingRegressor_0,trainTest_removed,R2,0.71,0.0
4,VotingRegressor_0,trainTest_removed,MAE,51.92,0.0
5,VotingRegressor_0,trainTest_removed,RMSE,74.57,0.0
6,VotingRegressor_0,randomCV,R2,0.84,0.09
7,VotingRegressor_0,randomCV,MAE,59.78,11.27
8,VotingRegressor_0,randomCV,RMSE,81.28,18.44
9,VotingRegressor_0,randomCV_removed,R2,0.78,0.11
10,VotingRegressor_0,randomCV_removed,MAE,51.79,10.69
11,VotingRegressor_0,randomCV_removed,RMSE,72.87,14.99
12,VotingRegressor_0,groupedCV,R2,0.27,0.51
13,VotingRegressor_0,groupedCV,MAE,111.03,58.81
14,VotingRegressor_0,groupedCV,RMSE,144.69,89.03
15,VotingRegressor_0,groupedCV_removed,R2,0.5,0.21
16,VotingRegressor_0,groupedCV_removed,MAE,82.4,25.87
17,VotingRegressor_0,groupedCV_removed,RMSE,101.33,31.92
18,VotingRegressor_1,trainTest,R2,0.75,0.0
19,VotingRegressor_1,trainTest,MAE,81.37,0.0
20,VotingRegressor_1,trainTest,RMSE,120.23,0.0
21,VotingRegressor_1,trainTest_removed,R2,0.73,0.0
22,VotingRegressor_1,trainTest_removed,MAE,49.22,0.0
23,VotingRegressor_1,trainTest_removed,RMSE,72.39,0.0
24,VotingRegressor_1,randomCV,R2,0.84,0.09
25,VotingRegressor_1,randomCV,MAE,57.94,12.06
26,VotingRegressor_1,randomCV,RMSE,80.24,18.0
27,VotingRegressor_1,randomCV_removed,R2,0.79,0.1
28,VotingRegressor_1,randomCV_removed,MAE,51.01,10.15
29,VotingRegressor_1,randomCV_removed,RMSE,72.43,14.64
30,VotingRegressor_1,groupedCV,R2,0.28,0.51
31,VotingRegressor_1,groupedCV,MAE,109.67,58.38
32,VotingRegressor_1,groupedCV,RMSE,144.0,88.3
33,VotingRegressor_1,groupedCV_removed,R2,0.52,0.21
34,VotingRegressor_1,groupedCV_removed,MAE,82.17,27.84
35,VotingRegressor_1,groupedCV_removed,RMSE,100.44,35.4
