,Model,Methodology,Metric,Mean,Std
0,XGBRegressor,trainTest,R2,0.78,0.0
1,XGBRegressor,trainTest,MAE,70.58,0.0
2,XGBRegressor,trainTest,RMSE,112.57,0.0
3,XGBRegressor,trainTest_removed,R2,0.7,0.0
4,XGBRegressor,trainTest_removed,MAE,56.74,0.0
5,XGBRegressor,trainTest_removed,RMSE,75.64,0.0
6,XGBRegressor,randomCV,R2,0.82,0.11
7,XGBRegressor,randomCV,MAE,58.43,10.16
8,XGBRegressor,randomCV,RMSE,83.66,15.7
9,XGBRegressor,randomCV_removed,R2,0.75,0.1
10,XGBRegressor,randomCV_removed,MAE,53.63,6.8
11,XGBRegressor,randomCV_removed,RMSE,77.49,9.89
12,XGBRegressor,groupedCV,R2,0.19,0.53
13,XGBRegressor,groupedCV,MAE,114.82,62.07
14,XGBRegressor,groupedCV,RMSE,155.82,105.56
15,XGBRegressor,groupedCV_removed,R2,0.37,0.4
16,XGBRegressor,groupedCV_removed,MAE,91.42,32.8
17,XGBRegressor,groupedCV_removed,RMSE,110.54,38.85
