,Model,Methodology,Metric,Mean,Std
0,Ridge,trainTest,R2,0.14,0.0
1,Ridge,trainTest,MAE,152.32,0.0
2,Ridge,trainTest,RMSE,223.71,0.0
3,Ridge,trainTest_removed,R2,0.18,0.0
4,Ridge,trainTest_removed,MAE,103.94,0.0
5,Ridge,trainTest_removed,RMSE,125.27,0.0
6,Ridge,randomCV,R2,0.43,0.36
7,Ridge,randomCV,MAE,113.27,21.54
8,Ridge,randomCV,RMSE,150.27,32.57
9,Ridge,randomCV_removed,R2,0.48,0.17
10,Ridge,randomCV_removed,MAE,90.12,13.26
11,Ridge,randomCV_removed,RMSE,114.02,12.87
12,Ridge,groupedCV,R2,-0.46,1.01
13,Ridge,groupedCV,MAE,164.05,72.94
14,Ridge,groupedCV,RMSE,208.71,116.62
15,Ridge,groupedCV_removed,R2,-0.19,1.13
16,Ridge,groupedCV_removed,MAE,108.22,28.01
17,Ridge,groupedCV_removed,RMSE,136.4,29.25
18,RandomForestRegressor,trainTest,R2,0.76,0.0
19,RandomForestRegressor,trainTest,MAE,75.42,0.0
20,RandomForestRegressor,trainTest,RMSE,117.22,0.0
21,RandomForestRegressor,trainTest_removed,R2,0.7,0.0
22,RandomForestRegressor,trainTest_removed,MAE,51.32,0.0
23,RandomForestRegressor,trainTest_removed,RMSE,75.36,0.0
24,RandomForestRegressor,randomCV,R2,0.82,0.1
25,RandomForestRegressor,randomCV,MAE,59.26,11.66
26,RandomForestRegressor,randomCV,RMSE,83.3,16.71
27,RandomForestRegressor,randomCV_removed,R2,0.76,0.11
28,RandomForestRegressor,randomCV_removed,MAE,54.13,9.61
29,RandomForestRegressor,randomCV_removed,RMSE,77.33,12.83
30,RandomForestRegressor,groupedCV,R2,0.19,0.57
31,RandomForestRegressor,groupedCV,MAE,115.97,56.63
32,RandomForestRegressor,groupedCV,RMSE,152.93,88.72
33,RandomForestRegressor,groupedCV_removed,R2,0.43,0.3
34,RandomForestRegressor,groupedCV_removed,MAE,87.13,26.98
35,RandomForestRegressor,groupedCV_removed,RMSE,107.64,34.56
36,XGBRegressor,trainTest,R2,0.77,0.0
37,XGBRegressor,trainTest,MAE,74.73,0.0
38,XGBRegressor,trainTest,RMSE,115.36,0.0
39,XGBRegressor,trainTest_removed,R2,0.74,0.0
40,XGBRegressor,trainTest_removed,MAE,45.68,0.0
41,XGBRegressor,trainTest_removed,RMSE,70.65,0.0
42,XGBRegressor,randomCV,R2,0.84,0.09
43,XGBRegressor,randomCV,MAE,58.54,10.88
44,XGBRegressor,randomCV,RMSE,81.79,17.6
45,XGBRegressor,randomCV_removed,R2,0.76,0.1
46,XGBRegressor,randomCV_removed,MAE,53.45,7.35
47,XGBRegressor,randomCV_removed,RMSE,77.13,11.63
48,XGBRegressor,groupedCV,R2,0.25,0.43
49,XGBRegressor,groupedCV,MAE,113.48,57.69
50,XGBRegressor,groupedCV,RMSE,151.85,88.01
51,XGBRegressor,groupedCV_removed,R2,0.46,0.26
52,XGBRegressor,groupedCV_removed,MAE,86.47,30.05
53,XGBRegressor,groupedCV_removed,RMSE,104.89,36.45
54,CatBoostRegressor,trainTest,R2,0.72,0.0
55,CatBoostRegressor,trainTest,MAE,89.89,0.0
56,CatBoostRegressor,trainTest,RMSE,127.1,0.0
57,CatBoostRegressor,trainTest_removed,R2,0.66,0.0
58,CatBoostRegressor,trainTest_removed,MAE,59.05,0.0
59,CatBoostRegressor,trainTest_removed,RMSE,81.08,0.0
60,CatBoostRegressor,randomCV,R2,0.83,0.09
61,CatBoostRegressor,randomCV,MAE,60.93,13.01
62,CatBoostRegressor,randomCV,RMSE,82.02,18.5
63,CatBoostRegressor,randomCV_removed,R2,0.78,0.1
64,CatBoostRegressor,randomCV_removed,MAE,51.97,9.06
65,CatBoostRegressor,randomCV_removed,RMSE,73.78,12.62
66,CatBoostRegressor,groupedCV,R2,0.28,0.57
67,CatBoostRegressor,groupedCV,MAE,110.2,59.25
68,CatBoostRegressor,groupedCV,RMSE,142.29,89.21
69,CatBoostRegressor,groupedCV_removed,R2,0.51,0.2
70,CatBoostRegressor,groupedCV_removed,MAE,82.52,27.37
71,CatBoostRegressor,groupedCV_removed,RMSE,101.61,36.06
72,MLPRegressor,trainTest,R2,0.58,0.0
73,MLPRegressor,trainTest,MAE,89.61,0.0
74,MLPRegressor,trainTest,RMSE,156.52,0.0
75,MLPRegressor,trainTest_removed,R2,0.52,0.0
76,MLPRegressor,trainTest_removed,MAE,73.21,0.0
77,MLPRegressor,trainTest_removed,RMSE,95.66,0.0
78,MLPRegressor,randomCV,R2,0.72,0.22
79,MLPRegressor,randomCV,MAE,65.76,15.88
80,MLPRegressor,randomCV,RMSE,99.85,33.75
81,MLPRegressor,randomCV_removed,R2,0.72,0.15
82,MLPRegressor,randomCV_removed,MAE,57.12,12.96
83,MLPRegressor,randomCV_removed,RMSE,81.8,18.96
84,MLPRegressor,groupedCV,R2,0.12,0.51
85,MLPRegressor,groupedCV,MAE,114.1,54.5
86,MLPRegressor,groupedCV,RMSE,160.66,82.09
87,MLPRegressor,groupedCV_removed,R2,0.18,0.63
88,MLPRegressor,groupedCV_removed,MAE,97.72,37.49
89,MLPRegressor,groupedCV_removed,RMSE,117.65,41.68
