,Model,Methodology,Metric,Mean,Std
0,DummyRegressor,trainTest,R2,-0.08,0.0
1,DummyRegressor,trainTest,MAE,194.48,0.0
2,DummyRegressor,trainTest,RMSE,251.1,0.0
3,DummyRegressor,trainTest_removed,R2,-0.0,0.0
4,DummyRegressor,trainTest_removed,MAE,116.13,0.0
5,DummyRegressor,trainTest_removed,RMSE,138.58,0.0
6,DummyRegressor,randomCV,R2,-0.04,0.03
7,DummyRegressor,randomCV,MAE,175.66,40.76
8,DummyRegressor,randomCV,RMSE,234.1,77.55
9,DummyRegressor,randomCV_removed,R2,-0.03,0.05
10,DummyRegressor,randomCV_removed,MAE,141.64,21.35
11,DummyRegressor,randomCV_removed,RMSE,166.86,26.11
12,DummyRegressor,groupedCV,R2,-0.51,1.08
13,DummyRegressor,groupedCV,MAE,174.5,74.81
14,DummyRegressor,groupedCV,RMSE,215.04,118.81
15,DummyRegressor,groupedCV_removed,R2,-0.34,0.6
16,DummyRegressor,groupedCV_removed,MAE,142.52,38.5
17,DummyRegressor,groupedCV_removed,RMSE,164.6,44.6
18,LinearRegression,trainTest,R2,0.14,0.0
19,LinearRegression,trainTest,MAE,152.36,0.0
20,LinearRegression,trainTest,RMSE,223.64,0.0
21,LinearRegression,trainTest_removed,R2,0.19,0.0
22,LinearRegression,trainTest_removed,MAE,104.31,0.0
23,LinearRegression,trainTest_removed,RMSE,124.96,0.0
24,LinearRegression,randomCV,R2,0.42,0.38
25,LinearRegression,randomCV,MAE,114.13,22.03
26,LinearRegression,randomCV,RMSE,150.18,33.34
27,LinearRegression,randomCV_removed,R2,0.47,0.18
28,LinearRegression,randomCV_removed,MAE,90.75,13.68
29,LinearRegression,randomCV_removed,RMSE,114.86,12.94
30,LinearRegression,groupedCV,R2,-0.4,1.12
31,LinearRegression,groupedCV,MAE,147.03,60.03
32,LinearRegression,groupedCV,RMSE,187.17,85.69
33,LinearRegression,groupedCV_removed,R2,-0.04,0.84
34,LinearRegression,groupedCV_removed,MAE,103.15,29.38
35,LinearRegression,groupedCV_removed,RMSE,126.61,29.52
36,Ridge,trainTest,R2,0.14,0.0
37,Ridge,trainTest,MAE,154.23,0.0
38,Ridge,trainTest,RMSE,224.15,0.0
39,Ridge,trainTest_removed,R2,0.15,0.0
40,Ridge,trainTest_removed,MAE,105.99,0.0
