,Model,Methodology,Metric,Mean,Std
0,Ridge,trainTest,R2,0.14,0.0
1,Ridge,trainTest,MAE,152.73,0.0
2,Ridge,trainTest,RMSE,223.76,0.0
3,Ridge,trainTest_removed,R2,0.17,0.0
4,Ridge,trainTest_removed,MAE,105.12,0.0
5,Ridge,trainTest_removed,RMSE,126.33,0.0
6,Ridge,randomCV,R2,0.43,0.36
7,Ridge,randomCV,MAE,114.1,21.54
8,Ridge,randomCV,RMSE,150.75,32.19
9,Ridge,randomCV_removed,R2,0.47,0.18
10,Ridge,randomCV_removed,MAE,90.6,13.56
11,Ridge,randomCV_removed,RMSE,114.68,12.79
12,Ridge,groupedCV,R2,-0.61,1.03
13,Ridge,groupedCV,MAE,167.35,70.87
14,Ridge,groupedCV,RMSE,217.22,114.48
15,Ridge,groupedCV_removed,R2,-0.21,1.15
16,Ridge,groupedCV_removed,MAE,111.0,28.34
17,Ridge,groupedCV_removed,RMSE,138.09,29.76
18,RandomForestRegressor,trainTest,R2,0.89,0.0
19,RandomForestRegressor,trainTest,MAE,54.15,0.0
20,RandomForestRegressor,trainTest,RMSE,78.46,0.0
21,RandomForestRegressor,trainTest_removed,R2,0.7,0.0
22,RandomForestRegressor,trainTest_removed,MAE,58.23,0.0
23,RandomForestRegressor,trainTest_removed,RMSE,76.22,0.0
24,RandomForestRegressor,randomCV,R2,0.85,0.11
25,RandomForestRegressor,randomCV,MAE,51.93,14.73
26,RandomForestRegressor,randomCV,RMSE,74.4,15.6
27,RandomForestRegressor,randomCV_removed,R2,0.77,0.09
28,RandomForestRegressor,randomCV_removed,MAE,51.37,10.61
29,RandomForestRegressor,randomCV_removed,RMSE,74.89,13.24
30,RandomForestRegressor,groupedCV,R2,-0.13,0.95
31,RandomForestRegressor,groupedCV,MAE,133.8,61.57
32,RandomForestRegressor,groupedCV,RMSE,169.12,95.95
33,RandomForestRegressor,groupedCV_removed,R2,0.33,0.24
34,RandomForestRegressor,groupedCV_removed,MAE,98.71,31.36
35,RandomForestRegressor,groupedCV_removed,RMSE,119.79,39.67
36,XGBRegressor,trainTest,R2,0.91,0.0
37,XGBRegressor,trainTest,MAE,39.42,0.0
38,XGBRegressor,trainTest,RMSE,74.07,0.0
39,XGBRegressor,trainTest_removed,R2,0.71,0.0
40,XGBRegressor,trainTest_removed,MAE,42.96,0.0
41,XGBRegressor,trainTest_removed,RMSE,74.97,0.0
42,XGBRegressor,randomCV,R2,0.89,0.08
43,XGBRegressor,randomCV,MAE,40.82,8.12
44,XGBRegressor,randomCV,RMSE,62.94,12.96
45,XGBRegressor,randomCV_removed,R2,0.8,0.11
46,XGBRegressor,randomCV_removed,MAE,41.83,6.61
47,XGBRegressor,randomCV_removed,RMSE,66.65,15.4
48,XGBRegressor,groupedCV,R2,0.16,0.51
49,XGBRegressor,groupedCV,MAE,120.16,58.26
50,XGBRegressor,groupedCV,RMSE,153.97,86.43
51,XGBRegressor,groupedCV_removed,R2,0.38,0.25
52,XGBRegressor,groupedCV_removed,MAE,96.67,28.28
53,XGBRegressor,groupedCV_removed,RMSE,112.98,34.99
54,CatBoostRegressor,trainTest,R2,0.88,0.0
55,CatBoostRegressor,trainTest,MAE,53.12,0.0
56,CatBoostRegressor,trainTest,RMSE,82.73,0.0
57,CatBoostRegressor,trainTest_removed,R2,0.75,0.0
58,CatBoostRegressor,trainTest_removed,MAE,44.69,0.0
59,CatBoostRegressor,trainTest_removed,RMSE,68.9,0.0
60,CatBoostRegressor,randomCV,R2,0.89,0.1
61,CatBoostRegressor,randomCV,MAE,41.01,11.17
62,CatBoostRegressor,randomCV,RMSE,62.31,18.68
63,CatBoostRegressor,randomCV_removed,R2,0.83,0.11
64,CatBoostRegressor,randomCV_removed,MAE,39.48,9.69
65,CatBoostRegressor,randomCV_removed,RMSE,62.8,18.71
66,CatBoostRegressor,groupedCV,R2,0.11,0.8
67,CatBoostRegressor,groupedCV,MAE,117.57,71.45
68,CatBoostRegressor,groupedCV,RMSE,152.0,105.06
69,CatBoostRegressor,groupedCV_removed,R2,0.41,0.25
70,CatBoostRegressor,groupedCV_removed,MAE,92.98,34.59
71,CatBoostRegressor,groupedCV_removed,RMSE,113.88,44.98
72,MLPRegressor,trainTest,R2,0.44,0.0
73,MLPRegressor,trainTest,MAE,105.96,0.0
74,MLPRegressor,trainTest,RMSE,180.65,0.0
75,MLPRegressor,trainTest_removed,R2,-0.13,0.0
76,MLPRegressor,trainTest_removed,MAE,100.79,0.0
77,MLPRegressor,trainTest_removed,RMSE,147.2,0.0
78,MLPRegressor,randomCV,R2,0.58,0.24
79,MLPRegressor,randomCV,MAE,86.73,22.08
80,MLPRegressor,randomCV,RMSE,132.11,47.87
81,MLPRegressor,randomCV_removed,R2,0.55,0.24
82,MLPRegressor,randomCV_removed,MAE,73.14,14.88
83,MLPRegressor,randomCV_removed,RMSE,105.42,18.54
84,MLPRegressor,groupedCV,R2,-0.54,1.07
85,MLPRegressor,groupedCV,MAE,158.24,76.81
86,MLPRegressor,groupedCV,RMSE,204.16,113.96
87,MLPRegressor,groupedCV_removed,R2,-0.14,0.95
88,MLPRegressor,groupedCV_removed,MAE,107.69,36.74
89,MLPRegressor,groupedCV_removed,RMSE,135.38,47.13
