,Model,Methodology,Metric,Mean,Std
0,VotingRegressor_0,trainTest,R2,0.91,0.0
1,VotingRegressor_0,trainTest,MAE,45.38,0.0
2,VotingRegressor_0,trainTest,RMSE,72.25,0.0
3,VotingRegressor_0,trainTest_removed,R2,0.72,0.0
4,VotingRegressor_0,trainTest_removed,MAE,43.58,0.0
5,VotingRegressor_0,trainTest_removed,RMSE,73.08,0.0
6,VotingRegressor_0,randomCV,R2,0.9,0.08
7,VotingRegressor_0,randomCV,MAE,41.32,8.3
8,VotingRegressor_0,randomCV,RMSE,61.5,13.58
9,VotingRegressor_0,randomCV_removed,R2,0.83,0.1
10,VotingRegressor_0,randomCV_removed,MAE,40.68,8.09
11,VotingRegressor_0,randomCV_removed,RMSE,62.72,17.02
12,VotingRegressor_0,groupedCV,R2,0.19,0.51
13,VotingRegressor_0,groupedCV,MAE,117.5,61.5
14,VotingRegressor_0,groupedCV,RMSE,150.69,91.16
15,VotingRegressor_0,groupedCV_removed,R2,0.37,0.27
16,VotingRegressor_0,groupedCV_removed,MAE,94.03,28.17
17,VotingRegressor_0,groupedCV_removed,RMSE,112.11,34.52
